cont-src-1,cont-src-2,radiation-reading,source,radiation-reading-scaled
0.782866,0.853191,0.271708,week-x,10.000000
0.782866,0.853191,0.221828,week-x,8.164223
0.782866,0.853191,0.169681,week-x,6.244974
0.782866,0.853191,0.145560,week-x,5.357217
0.782866,0.853191,0.009041,week-x,0.332757
0.782866,0.853191,0.007467,week-x,0.274820
0.731024,0.733000,0.000000,file,0.000000
0.683418,0.861057,0.000000,file,0.000000
0.574329,0.879898,0.000000,file,0.000000
0.883890,0.582254,0.000000,file,0.000000
0.319404,0.762959,0.000000,file,0.000000
0.082507,0.403488,0.000000,file,0.000000
0.840353,0.264732,0.000000,file,0.000000
0.579291,1.059596,0.000000,week-3,0.000000
0.469395,1.050091,-0.000000,week-5,-0.000000
0.404040,0.959596,-0.000000,week-2,-0.000000
0.312691,0.078723,-0.000000,file,-0.000000
0.436769,0.825163,-0.000000,week-4,-0.000000
0.410437,0.147554,-0.000000,file,-0.000000
0.848485,0.777778,-0.000000,week-1,-0.000000
0.650114,0.681526,-0.003606,file,-0.132718
