number-1,number-2,log-likelyhood-score,source,log-likelyhood-score-scaled
0.977791,0.415327,1.059488,week-x,10.000000
0.977791,0.415327,0.735692,week-x,6.943841
0.702637,0.926564,0.611205,file,5.768871
0.691873,0.263356,0.596081,week-4,5.626124
0.977791,0.415327,0.573794,week-x,5.415762
0.665800,0.123969,0.538996,file,5.087324
0.722766,0.839711,0.533827,week-3,5.038535
0.877791,0.778628,0.420586,file,3.969711
0.845275,0.711120,0.293993,file,2.774857
0.438166,0.685018,0.244619,file,2.308844
0.454647,0.290455,0.214965,file,2.028946
0.616162,1.000000,0.180119,week-2,1.700059
0.818182,0.939394,0.051646,week-1,0.487466
0.341750,0.028698,0.038749,file,0.365733
0.577713,0.771973,0.023106,file,0.218082
0.790304,0.104833,0.016862,week-5,0.159150
0.977791,0.415327,0.000169,week-x,0.001591
0.977791,0.415327,0.000150,week-x,0.001413
0.977791,0.415327,0.000013,week-x,0.000127
0.977791,0.415327,0.000012,week-x,0.000112
0.338648,0.213867,-0.013858,file,-0.130795
0.142699,0.349005,-0.065624,file,-0.619390
