number-1,number-2,log-likelyhood-score,source
0.702637,0.926564,0.611205,file
0.691873,0.263356,0.596081,week-4
0.665800,0.123969,0.538996,file
0.722766,0.839711,0.533827,week-3
0.877791,0.778628,0.420586,file
0.845275,0.711120,0.293993,file
0.438166,0.685018,0.244619,file
0.454647,0.290455,0.214965,file
0.616162,1.000000,0.180119,week-2
0.818182,0.939394,0.051646,week-1
0.341750,0.028698,0.038749,file
0.577713,0.771973,0.023106,file
0.977791,0.261960,0.021321,week-6
0.790304,0.104833,0.016862,week-5
0.338648,0.213867,-0.013858,file
0.142699,0.349005,-0.065624,file
0.715000,0.950000,,week-x
