compound-1,compound-2,compound-3,trans-side-effect,source,trans-side-effect-scaled
0.010000,0.675561,1.074587,1.547598,week-x,10.000000
0.010000,0.434782,1.074587,1.411025,week-x,9.117518
0.010000,0.694082,1.052861,0.000000,week-x,0.000000
0.010000,0.694082,1.052861,0.000000,week-x,0.000000
0.010000,0.694082,1.052861,0.000000,week-x,0.000000
0.010000,0.694082,1.052861,0.000000,week-x,0.000000
0.492581,0.611593,0.340176,-0.034835,file,-0.225093
0.600097,0.725136,0.066089,-0.036378,file,-0.235060
0.220549,0.297825,0.343555,-0.046947,file,-0.303357
0.134622,0.219917,0.458206,-0.048008,file,-0.310207
0.965995,0.861120,0.566829,-0.056758,file,-0.366751
0.242114,0.644074,0.272433,-0.087963,file,-0.568383
0.170477,0.697032,0.149169,-0.094190,file,-0.608618
0.666014,0.671985,0.246295,-0.105965,file,-0.684706
0.345523,0.941360,0.269363,-0.110621,file,-0.714791
0.534906,0.398501,0.173389,-0.111415,file,-0.719920
0.171525,0.343917,0.248737,-0.112122,file,-0.724492
0.645503,0.397143,0.919771,-0.113869,file,-0.735776
0.046809,0.231360,0.770618,-0.118048,file,-0.762784
0.746912,0.284196,0.226300,-0.131461,file,-0.849449
0.151837,0.439991,0.990882,-0.398926,file,-2.577707
