compound-1,compound-2,compound-3,trans-side-effect,source
0.448900,0.470829,0.414315,-0.020404,week-4
0.303031,0.242424,0.474748,-0.030680,week-2
0.492581,0.611593,0.340176,-0.034835,file
0.600097,0.725136,0.066089,-0.036378,file
0.220549,0.297825,0.343555,-0.046947,file
0.134622,0.219917,0.458206,-0.048008,file
0.263346,0.138532,0.363743,-0.048179,week-3
0.965995,0.861120,0.566829,-0.056758,file
0.242114,0.644074,0.272433,-0.087963,file
0.170477,0.697032,0.149169,-0.094190,file
0.666014,0.671985,0.246295,-0.105965,file
0.345523,0.941360,0.269363,-0.110621,file
0.464647,0.666667,0.171718,-0.111186,week-1
0.534906,0.398501,0.173389,-0.111415,file
0.171525,0.343917,0.248737,-0.112122,file
0.645503,0.397143,0.919771,-0.113869,file
0.357938,0.038532,0.517008,-0.117539,week-5
0.046809,0.231360,0.770618,-0.118048,file
0.137356,0.196578,0.292441,-0.126356,week-7
0.746912,0.284196,0.226300,-0.131461,file
0.116130,0.051462,0.314168,-0.148291,week-6
0.151837,0.439991,0.990882,-0.398926,file
0.455921,0.484502,0.392184,,week-x
