hype-para--1,hype-para-2,hype-para-3,hype-para-4,opt-place-score,source,opt-place-score-scaled
0.528893,0.456453,0.465114,0.535580,2.153925,week-x,10.000000
0.528893,0.456453,0.465114,0.535580,1.860160,week-x,8.636143
0.572134,0.415866,0.465114,0.491781,1.595983,week-x,7.409651
0.528893,0.375280,0.465114,0.447983,0.228416,week-x,1.060465
0.528893,0.375280,0.465114,0.447983,0.228416,week-x,1.060465
0.485652,0.415866,0.506488,0.491781,0.031011,week-x,0.143973
0.485652,0.415866,0.506488,0.491781,0.031011,week-x,0.143973
0.485652,0.415866,0.506488,0.491781,0.029003,week-x,0.134653
0.528893,0.456453,0.465114,0.535580,0.003248,week-x,0.015079
0.577766,0.428772,0.425826,0.249007,-4.025542,file,-18.689337
0.469388,0.448980,0.469388,0.204082,-4.620232,week-1,-21.450298
0.515152,0.484848,0.363636,0.181819,-4.939960,week-2,-22.934694
0.515152,0.484848,0.363636,0.181819,-5.313374,week-3,-24.668340
0.326076,0.472367,0.453192,0.105887,-6.702089,file,-31.115710
0.343612,0.592249,0.651353,0.444513,-7.221570,week-5,-33.527498
0.445393,0.174795,0.339088,0.116347,-7.600577,week-6,-35.287110
0.282138,0.505987,0.530531,0.096302,-7.966775,file,-36.987253
0.124871,0.129770,0.384400,0.287076,-10.069633,file,-46.750168
0.170347,0.756959,0.276520,0.531231,-11.565742,file,-53.696133
0.250946,0.033693,0.145380,0.494932,-11.699932,file,-54.319138
0.247708,0.060445,0.042186,0.441324,-12.681685,file,-58.877108
0.626071,0.586751,0.438806,0.778858,-12.741766,file,-59.156046
0.216911,0.166086,0.241372,0.770062,-12.758324,file,-59.232920
0.111733,0.041201,0.540545,0.286416,-12.867749,week-4,-59.740946
0.738613,0.482103,0.709366,0.503970,-13.122782,file,-60.924986
0.732812,0.145250,0.476813,0.133366,-13.527649,file,-62.804655
0.037825,0.664853,0.161982,0.253924,-13.702747,file,-63.617581
0.889356,0.499588,0.539269,0.508783,-14.601397,file,-67.789731
0.801303,0.500231,0.706645,0.195103,-15.487083,file,-71.901694
0.746702,0.757092,0.369353,0.206566,-16.026400,file,-74.405576
0.346962,0.006250,0.760564,0.613024,-16.053765,file,-74.532625
0.219734,0.832031,0.482864,0.082569,-16.507159,file,-76.637589
0.655115,0.072392,0.687152,0.081517,-16.679115,file,-77.435930
0.400665,0.072574,0.886768,0.243842,-17.049235,file,-79.154279
0.488594,0.211965,0.939178,0.376192,-17.817999,file,-82.723414
0.387488,0.804532,0.751795,0.723827,-19.441558,file,-90.261089
0.664955,0.046566,0.116777,0.793718,-19.989498,file,-92.805005
0.896981,0.725628,0.175404,0.701694,-22.108288,file,-102.641885
0.854811,0.493965,0.735310,0.808092,-23.139428,file,-107.429150
0.167130,0.876555,0.217240,0.959801,-26.561821,file,-123.318250
0.859657,0.919592,0.206139,0.097797,-26.857786,file,-124.692326
0.957135,0.597644,0.766114,0.776210,-27.316396,file,-126.821509
0.985622,0.666933,0.156783,0.856535,-28.903274,file,-134.188886
0.683486,0.902770,0.335420,0.999483,-29.427091,file,-136.620808
0.948389,0.894513,0.851638,0.552196,-32.625660,file,-151.470766
