hype-para--1,hype-para-2,hype-para-3,hype-para-4,opt-place-score,source
0.577766,0.428772,0.425826,0.249007,-4.025542,file
0.572134,0.415866,0.465114,0.491781,-4.550363,week-7
0.469388,0.448980,0.469388,0.204082,-4.620232,week-1
0.515152,0.484848,0.363636,0.181819,-4.939960,week-2
0.515152,0.484848,0.363636,0.181819,-5.313374,week-3
0.326076,0.472367,0.453192,0.105887,-6.702089,file
0.343612,0.592249,0.651353,0.444513,-7.221570,week-5
0.445393,0.174795,0.339088,0.116347,-7.600577,week-6
0.282138,0.505987,0.530531,0.096302,-7.966775,file
0.124871,0.129770,0.384400,0.287076,-10.069633,file
0.170347,0.756959,0.276520,0.531231,-11.565742,file
0.250946,0.033693,0.145380,0.494932,-11.699932,file
0.247708,0.060445,0.042186,0.441324,-12.681685,file
0.626071,0.586751,0.438806,0.778858,-12.741766,file
0.216911,0.166086,0.241372,0.770062,-12.758324,file
0.111733,0.041201,0.540545,0.286416,-12.867749,week-4
0.738613,0.482103,0.709366,0.503970,-13.122782,file
0.732812,0.145250,0.476813,0.133366,-13.527649,file
0.037825,0.664853,0.161982,0.253924,-13.702747,file
0.889356,0.499588,0.539269,0.508783,-14.601397,file
0.801303,0.500231,0.706645,0.195103,-15.487083,file
0.746702,0.757092,0.369353,0.206566,-16.026400,file
0.346962,0.006250,0.760564,0.613024,-16.053765,file
0.219734,0.832031,0.482864,0.082569,-16.507159,file
0.655115,0.072392,0.687152,0.081517,-16.679115,file
0.400665,0.072574,0.886768,0.243842,-17.049235,file
0.488594,0.211965,0.939178,0.376192,-17.817999,file
0.387488,0.804532,0.751795,0.723827,-19.441558,file
0.664955,0.046566,0.116777,0.793718,-19.989498,file
0.896981,0.725628,0.175404,0.701694,-22.108288,file
0.854811,0.493965,0.735310,0.808092,-23.139428,file
0.167130,0.876555,0.217240,0.959801,-26.561821,file
0.859657,0.919592,0.206139,0.097797,-26.857786,file
0.957135,0.597644,0.766114,0.776210,-27.316396,file
0.985622,0.666933,0.156783,0.856535,-28.903274,file
0.683486,0.902770,0.335420,0.999483,-29.427091,file
0.948389,0.894513,0.851638,0.552196,-32.625660,file
0.543210,0.371924,0.624315,0.289473,,week-x
