var-1,var-2,var-3,var-4,yield,source,yield-scaled
0.263058,0.962540,0.979484,1.057644,4564.328857,week-5,10.000000
0.272727,0.848484,0.848485,0.818182,1118.872547,week-3,2.451341
0.224189,0.846480,0.879484,0.878516,1088.859618,file,2.385585
0.183674,0.857143,0.816327,0.877551,872.307487,week-1,1.911141
0.272727,0.848484,0.848485,0.818182,743.118248,week-2,1.628100
0.119879,0.862540,0.643331,0.849804,431.612757,file,0.945622
0.242085,0.848724,0.469207,0.893286,386.681874,week-4,0.847182
0.438933,0.774092,0.378167,0.933696,355.806818,file,0.779538
0.836478,0.193610,0.663893,0.785649,258.370525,file,0.566065
0.463442,0.630025,0.107906,0.957644,233.223610,file,0.510970
0.352356,0.322242,0.116979,0.473113,109.571876,file,0.240061
0.511142,0.817957,0.728710,0.112354,79.729130,file,0.174679
0.683432,0.118663,0.829046,0.567577,78.434389,file,0.171842
0.191447,0.038193,0.607418,0.414584,64.443440,file,0.141189
0.583973,0.147243,0.348097,0.428615,64.420147,file,0.141138
0.306889,0.316878,0.622634,0.095399,63.476716,file,0.139071
0.553621,0.667350,0.323806,0.814870,57.571537,file,0.126134
0.355482,0.639619,0.417618,0.122604,45.181570,file,0.098988
0.725262,0.479870,0.088947,0.759760,28.866752,file,0.063244
0.677491,0.358510,0.479592,0.072880,24.423088,file,0.053509
0.758653,0.536518,0.656000,0.360342,18.301380,file,0.040097
0.126885,0.153430,0.770162,0.190518,9.972332,file,0.021848
0.153786,0.729382,0.422598,0.443074,8.847992,file,0.019385
0.706051,0.534192,0.264243,0.482088,4.210898,file,0.009226
0.797599,0.775484,1.047075,1.122867,1.390691,week-x,0.003047
0.797599,0.775484,1.047075,1.122867,1.103660,week-x,0.002418
0.438350,0.804340,0.210245,0.151295,0.112940,file,0.000247
0.797599,0.775484,1.047075,1.122867,0.000000,week-x,0.000000
0.797599,0.775484,1.047075,1.122867,0.000000,week-x,0.000000
0.797599,0.775484,1.047075,1.122867,0.000000,week-x,0.000000
0.797599,0.775484,1.047075,1.122867,0.000000,week-x,0.000000
