floor,sugar,eggs,butter,milk,flavour-score,source,flavour-score-scaled
0.074790,1.021458,0.076279,0.000000,0.982791,3.971519,week-x,10.000000
0.074790,1.021458,0.076279,0.000000,0.982791,3.591368,week-x,9.042808
0.074790,1.021458,0.076279,0.000000,0.982791,3.211217,week-x,8.085616
0.074790,1.021458,0.076279,0.000000,0.982791,0.857413,week-x,2.158905
0.074790,1.021458,0.076279,0.000000,0.982791,0.797301,week-x,2.007548
0.074790,1.021458,0.076279,0.000000,0.982791,0.620165,week-x,1.561530
0.074790,1.021458,0.076279,0.000000,0.982791,0.434030,week-x,1.092858
0.074790,1.021458,0.076279,0.000000,0.982791,0.359467,week-x,0.905113
0.074790,1.021458,0.076279,0.000000,0.982791,0.216846,week-x,0.546003
0.733334,0.200000,0.666667,0.733334,0.133334,-0.537794,week-1,-1.354128
0.667597,0.157201,0.738339,0.678368,0.179636,-0.683325,week-3,-1.720565
0.757576,0.101010,0.707071,0.757576,0.151515,-0.710242,week-2,-1.788337
0.728186,0.154693,0.732552,0.693997,0.056401,-0.714265,file,-1.798468
0.618812,0.331802,0.187288,0.756238,0.328835,-0.829237,file,-2.087958
0.501329,0.211390,0.390924,0.970550,0.015922,-0.886618,week-5,-2.232442
0.782880,0.536336,0.443284,0.859700,0.010326,-0.935757,file,-2.356168
0.536797,0.308781,0.411879,0.388225,0.522528,-1.144785,file,-2.882486
0.242384,0.844100,0.577809,0.679021,0.501953,-1.209955,file,-3.046581
0.145111,0.896685,0.896322,0.726272,0.236272,-1.233786,file,-3.106586
0.784958,0.910682,0.708120,0.959225,0.004911,-1.247049,file,-3.139980
0.432166,0.715618,0.341819,0.705000,0.614962,-1.294247,file,-3.258821
0.757594,0.355831,0.016523,0.434207,0.112433,-1.309116,file,-3.296261
0.021735,0.428084,0.835939,0.489489,0.511082,-1.356682,file,-3.416029
0.578220,0.311822,0.237757,0.422315,0.588271,-1.499127,week-4,-3.774696
0.770620,0.114404,0.046780,0.648324,0.273549,-1.536058,file,-3.867684
0.629308,0.803484,0.811408,0.045613,0.110624,-1.622839,file,-4.086192
0.729523,0.748106,0.679775,0.356552,0.671054,-1.672200,file,-4.210480
0.945069,0.288459,0.978806,0.961656,0.598016,-1.694343,file,-4.266236
0.258906,0.793678,0.642114,0.196673,0.593103,-1.702558,file,-4.286919
0.126679,0.291470,0.064528,0.680515,0.892819,-1.746882,file,-4.398524
0.957740,0.235669,0.099146,0.156806,0.071317,-1.912677,file,-4.815984
0.439344,0.698924,0.426820,0.109476,0.877888,-2.018425,file,-5.082251
0.921776,0.931871,0.414876,0.595057,0.735626,-2.155768,file,-5.428069
0.125720,0.862725,0.028544,0.246605,0.751206,-2.571170,file,-6.474021
