floor,sugar,eggs,butter,milk,flavour-score,source,flavour-score-scaled
1.036680,1.011331,0.869341,0.889351,0.380409,1.701627,week-x,10.000000
1.036680,1.011331,0.869341,0.889351,0.380409,1.453954,week-x,8.544494
0.720778,1.011331,0.949905,1.022585,0.676737,0.016890,week-x,0.099258
0.720778,1.011331,0.949905,1.022585,0.676737,0.016317,week-x,0.095888
0.720778,1.011331,0.949905,1.022585,0.676737,0.004377,week-x,0.025721
0.720778,1.011331,0.949905,1.022585,0.676737,0.004211,week-x,0.024746
0.733334,0.200000,0.666667,0.733334,0.133334,-0.537794,week-1,-3.160471
0.667597,0.157201,0.738339,0.678368,0.179636,-0.683325,week-3,-4.015718
0.757576,0.101010,0.707071,0.757576,0.151515,-0.710242,week-2,-4.173897
0.728186,0.154693,0.732552,0.693997,0.056401,-0.714265,file,-4.197542
0.618812,0.331802,0.187288,0.756238,0.328835,-0.829237,file,-4.873199
0.501329,0.211390,0.390924,0.970550,0.015922,-0.886618,week-5,-5.210416
0.782880,0.536336,0.443284,0.859700,0.010326,-0.935757,file,-5.499188
0.536797,0.308781,0.411879,0.388225,0.522528,-1.144785,file,-6.727590
0.242384,0.844100,0.577809,0.679021,0.501953,-1.209955,file,-7.110579
0.145111,0.896685,0.896322,0.726272,0.236272,-1.233786,file,-7.250628
0.784958,0.910682,0.708120,0.959225,0.004911,-1.247049,file,-7.328569
0.432166,0.715618,0.341819,0.705000,0.614962,-1.294247,file,-7.605939
0.757594,0.355831,0.016523,0.434207,0.112433,-1.309116,file,-7.693322
0.021735,0.428084,0.835939,0.489489,0.511082,-1.356682,file,-7.972853
0.578220,0.311822,0.237757,0.422315,0.588271,-1.499127,week-4,-8.809966
0.770620,0.114404,0.046780,0.648324,0.273549,-1.536058,file,-9.026995
0.629308,0.803484,0.811408,0.045613,0.110624,-1.622839,file,-9.536985
0.729523,0.748106,0.679775,0.356552,0.671054,-1.672200,file,-9.827066
0.945069,0.288459,0.978806,0.961656,0.598016,-1.694343,file,-9.957197
0.258906,0.793678,0.642114,0.196673,0.593103,-1.702558,file,-10.005471
0.126679,0.291470,0.064528,0.680515,0.892819,-1.746882,file,-10.265953
0.957740,0.235669,0.099146,0.156806,0.071317,-1.912677,file,-11.240285
0.439344,0.698924,0.426820,0.109476,0.877888,-2.018425,file,-11.861739
0.921776,0.931871,0.414876,0.595057,0.735626,-2.155768,file,-12.668863
0.125720,0.862725,0.028544,0.246605,0.751206,-2.571170,file,-15.110067
