floor,sugar,eggs,butter,milk,flavour-score,source,flavour-score-scaled
1.015407,1.046923,0.010000,0.010000,0.953109,3.144229,week-x,10.000000
1.015407,1.046923,0.010000,0.010000,0.953109,2.764914,week-x,8.793615
0.010000,1.046923,0.010000,0.010000,0.953109,0.721934,week-x,2.296059
0.010000,1.046923,0.010000,0.010000,0.953109,0.713038,week-x,2.267766
1.015407,1.046923,0.010000,0.010000,0.953109,0.331255,week-x,1.053533
1.015407,1.046923,0.010000,0.010000,0.953109,0.325989,week-x,1.036785
0.733334,0.200000,0.666667,0.733334,0.133334,-0.537794,week-1,-1.710417
0.667597,0.157201,0.738339,0.678368,0.179636,-0.683325,week-3,-2.173268
0.757576,0.101010,0.707071,0.757576,0.151515,-0.710242,week-2,-2.258873
0.728186,0.154693,0.732552,0.693997,0.056401,-0.714265,file,-2.271669
0.618812,0.331802,0.187288,0.756238,0.328835,-0.829237,file,-2.637328
0.501329,0.211390,0.390924,0.970550,0.015922,-0.886618,week-5,-2.819827
0.782880,0.536336,0.443284,0.859700,0.010326,-0.935757,file,-2.976108
0.536797,0.308781,0.411879,0.388225,0.522528,-1.144785,file,-3.640907
0.242384,0.844100,0.577809,0.679021,0.501953,-1.209955,file,-3.848177
0.145111,0.896685,0.896322,0.726272,0.236272,-1.233786,file,-3.923971
0.784958,0.910682,0.708120,0.959225,0.004911,-1.247049,file,-3.966151
0.432166,0.715618,0.341819,0.705000,0.614962,-1.294247,file,-4.116261
0.757594,0.355831,0.016523,0.434207,0.112433,-1.309116,file,-4.163552
0.021735,0.428084,0.835939,0.489489,0.511082,-1.356682,file,-4.314832
0.578220,0.311822,0.237757,0.422315,0.588271,-1.499127,week-4,-4.767869
0.770620,0.114404,0.046780,0.648324,0.273549,-1.536058,file,-4.885323
0.629308,0.803484,0.811408,0.045613,0.110624,-1.622839,file,-5.161325
0.729523,0.748106,0.679775,0.356552,0.671054,-1.672200,file,-5.318314
0.945069,0.288459,0.978806,0.961656,0.598016,-1.694343,file,-5.388740
0.258906,0.793678,0.642114,0.196673,0.593103,-1.702558,file,-5.414865
0.126679,0.291470,0.064528,0.680515,0.892819,-1.746882,file,-5.555835
0.957740,0.235669,0.099146,0.156806,0.071317,-1.912677,file,-6.083135
0.439344,0.698924,0.426820,0.109476,0.877888,-2.018425,file,-6.419460
0.697910,0.990583,1.035622,0.974136,0.655285,-2.039013,week-6,-6.484938
0.921776,0.931871,0.414876,0.595057,0.735626,-2.155768,file,-6.856267
0.125720,0.862725,0.028544,0.246605,0.751206,-2.571170,file,-8.177424
